sentence_id	label	solved_conflict	sentence	label_encoded	processed_sentence	sentiment	sentiment_bin	pos_tags	pos_sequence
b9e1635a-72aa-467f-86d6-f56ef09f62c3	SUBJ	True	['go', 'day', 'lead', 'world', 'recessionbuste']	1	go day lead world recessionbuste	0.0	-0.0	['VERB', 'NOUN', 'VERB', 'NOUN', 'NOUN']	VERB NOUN VERB NOUN NOUN
f99b5143-70d2-494a-a2f5-c68f10d09d0a	OBJ	False	['trend', 'expect', 'reverse', 'soon', 'month']	0	trend expect reverse soon month	0.0	-0.0	['NOUN', 'VERB', 'VERB', 'ADV', 'NOUN']	NOUN VERB VERB ADV NOUN
4076639c-aa56-4202-ae0f-9d9217f8da68	OBJ	False	['specious', 'point']	0	specious point	0.0	-0.0	['ADJ', 'NOUN']	ADJ NOUN
b057c366-698e-419d-a284-9b16d835c64e	OBJ	False	['add', 'not', 'surprised', 'new', 'variant', 'altogether', 'fall']	0	add not surprised new variant altogether fall	0.043181818181818175	-0.0	['VERB', 'PART', 'ADJ', 'ADJ', 'NOUN', 'ADV', 'VERB']	VERB PART ADJ ADJ NOUN ADV VERB
a5a9645e-7850-41ba-90a2-5def725cd5b8	SUBJ	False	['government', 'government', 'money']	1	government government money	0.0	-0.0	['NOUN', 'NOUN', 'NOUN']	NOUN NOUN NOUN
11c50742-4455-4653-bf9d-4810968d3ee1	SUBJ	False	['express', 'timid', 'doubt', 'necessity', 'project', 'expense', 'booster', 'argue', 'public', 'demand', 'matter', 'fact', 'originate', 'scheme', 'taxbooste', 'influence', 'emanate', 'capita', 'model', 'standard']	1	express timid doubt necessity project expense booster argue public demand matter fact originate scheme taxbooste influence emanate capita model standard	0.0	-0.0	['VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN']	VERB ADJ NOUN NOUN NOUN NOUN NOUN VERB ADJ NOUN VERB NOUN VERB NOUN NOUN NOUN VERB NOUN NOUN NOUN
f593462a-6e47-43c8-a348-b95196c07f6d	OBJ	False	['state', 'shortage', 'far', 'difficult', 'find', 'teacher', 'math', 'science', 'special', 'education', 'class']	0	state shortage far difficult find teacher math science special education class	-0.01428571428571429	-0.0	['NOUN', 'NOUN', 'ADV', 'ADJ', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'NOUN']	NOUN NOUN ADV ADJ VERB NOUN NOUN NOUN ADJ NOUN NOUN
1520bc61-8bc1-4e99-b4dd-4eeb15e164e7	OBJ	False	['little', 'substance', 'serbia', 'lgbtq', 'people']	0	little substance serbia lgbtq people	-0.1875	-0.21	['ADJ', 'NOUN', 'PROPN', 'NOUN', 'NOUN']	ADJ NOUN PROPN NOUN NOUN
277c37a4-5bc1-4296-bf50-6ee4780a4e51	OBJ	False	['mean', 'time', 'uk', 'right', 'develop', 'land', 'public', 'matter', 'confer', 'private', 'ownership']	0	mean time uk right develop land public matter confer private ownership	-0.006696428571428575	-0.0	['ADJ', 'NOUN', 'PROPN', 'ADV', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'NOUN']	ADJ NOUN PROPN ADV VERB NOUN ADJ NOUN VERB ADJ NOUN
23f74706-0556-4eeb-90c1-041da0d8bcd0	OBJ	False	['marko', 'mihailovi', '29yearold', 'figurehead', 'belgrade', 'pride', 'lead', 'city', 'win', 'bid']	0	marko mihailovi 29yearold figurehead belgrade pride lead city win bid	0.8	0.84	['NOUN', 'NOUN', 'NUM', 'NOUN', 'PROPN', 'PROPN', 'NOUN', 'NOUN', 'NOUN', 'VERB']	NOUN NOUN NUM NOUN PROPN PROPN NOUN NOUN NOUN VERB
a2140c86-b140-474f-8902-0f5c19b76338	SUBJ	False	['consolidate', 'power', 'hand', 'government', 'expect', 'situation', 'push', 'hard']	1	consolidate power hand government expect situation push hard	-0.2916666666666667	-0.32	['VERB', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'VERB', 'ADV']	VERB NOUN NOUN NOUN VERB NOUN VERB ADV
7d348c76-ca27-416a-a0b8-32975447061c	OBJ	False	['drown']	0	drown	0.0	-0.0	['VERB']	VERB
dd5a54ff-aeca-4b1a-9ec5-9abb81e806aa	OBJ	False	['poorhouse', 'municipal', 'colony', 'govern', 'idea', 'say', 'magazine', 'new', 'jersey', 'league', 'municipality', 'refuge', 'unfortunate', 'differ', 'people', 'home', 'large', 'facility', 'great', 'number', 'inhabitant']	0	poorhouse municipal colony govern idea say magazine new jersey league municipality refuge unfortunate differ people home large facility great number inhabitant	0.16266233766233767	0.21	['PROPN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'NOUN', 'VERB', 'NOUN', 'ADV', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ']	PROPN ADJ NOUN NOUN NOUN VERB PROPN PROPN PROPN PROPN PROPN PROPN NOUN VERB NOUN ADV ADJ NOUN ADJ NOUN ADJ
cfc26110-2ffb-4310-bbe2-9ff5cd865429	SUBJ	False	['limit', 'focus', 'corporate', 'board', 'shareholder', 'financial', 'interest', 'corporate', 'law', 'intend', 'confine', 'sphere', 'influence', 'corporation', 'mean', 'protect', 'democracy', 'civic', 'institution', 'corporate', 'overreachjust', 'society', 'confer', 'certain', 'legal', 'advantage', 'nonprofit', 'corporation', 'return', 'confine', 'activity', 'sphere', 'charitable', 'cause']	1	limit focus corporate board shareholder financial interest corporate law intend confine sphere influence corporation mean protect democracy civic institution corporate overreachjust society confer certain legal advantage nonprofit corporation return confine activity sphere charitable cause	0.08772321428571428	0.11	['VERB', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'PROPN', 'VERB', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'ADV', 'ADJ', 'NOUN']	VERB NOUN ADJ NOUN NOUN ADJ NOUN ADJ NOUN VERB ADJ ADJ NOUN PROPN VERB VERB NOUN ADJ NOUN ADJ ADJ NOUN VERB ADJ ADJ NOUN ADJ NOUN VERB NOUN NOUN ADV ADJ NOUN
119313dc-9bf0-434b-8b5a-5c1f6510552c	SUBJ	True	['mean', 'tax', 'mindful', 'wealth', 'favor', 'increase', 'popular', 'taxis', 'aid', 'defective', 'child']	1	mean tax mindful wealth favor increase popular taxis aid defective child	0.14375	0.11	['VERB', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'X', 'NOUN', 'ADJ', 'NOUN']	VERB NOUN ADJ NOUN NOUN VERB ADJ X NOUN ADJ NOUN
ce81586b-3914-4d6e-811b-084e499f3eb1	OBJ	False	['analyst', 'expect', 'require']	0	analyst expect require	0.0	-0.0	['NOUN', 'VERB', 'VERB']	NOUN VERB VERB
2fc93ca9-4ae7-458b-ae31-cd886a2346de	OBJ	False	['democrats', 'congress', 'try', 'ban', 'alien', 'illegal', 'alien', 'replace', 'foreign', 'national', 'undocumente', 'foreign', 'national']	0	democrats congress try ban alien illegal alien replace foreign national undocumente foreign national	-0.25	-0.21	['PROPN', 'PROPN', 'VERB', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'ADJ', 'ADJ', 'PROPN', 'PROPN']	PROPN PROPN VERB NOUN ADJ ADJ NOUN VERB ADJ ADJ ADJ PROPN PROPN
89cccb37-28bf-439b-9257-e556ecccce17	SUBJ	False	['leftist', 'claim', 'perfectly', 'good', 'legal', 'phrase', 'illegal', 'alien', 'sinister', 'dehumanizing']	1	leftist claim perfectly good legal phrase illegal alien sinister dehumanizing	-0.0666666666666667	-0.11	['ADJ', 'NOUN', 'ADV', 'ADJ', 'ADJ', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'VERB']	ADJ NOUN ADV ADJ ADJ NOUN ADJ ADJ NOUN VERB
8dd8e6d4-9f73-4ced-af27-1a76425eb379	OBJ	False	['large', 'number', 'influential', 'farright', 'movement', 'vocal', 'opposition', 'europride', 'recent', 'month', 'lead', 'vui', 'cancel', 'event']	0	large number influential farright movement vocal opposition europride recent month lead vui cancel event	0.10714285714285714	0.11	['ADJ', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADV', 'ADJ', 'NOUN', 'VERB', 'PROPN', 'PROPN', 'NOUN']	ADJ NOUN ADJ NOUN NOUN ADJ NOUN ADV ADJ NOUN VERB PROPN PROPN NOUN
8265740d-7224-4d52-ba1d-b95c73f91371	OBJ	False	['big', 'police', 'presence', 'pride', 'finally', 'go', 'ahead', 'peacefully', '2014']	0	big police presence pride finally go ahead peacefully 2014	0.08333333333333333	0.11	['ADJ', 'NOUN', 'NOUN', 'NOUN', 'ADV', 'VERB', 'ADV', 'ADV', 'NUM']	ADJ NOUN NOUN NOUN ADV VERB ADV ADV NUM
